Date,Open,High,Low,Close,Adj Close,Volume,Name
29/07/2021,649.789.978,683.690.002,648.799.988,677.349.976,677.349.976,30394600,TLSA
30/07/2021,671.760.010,697.530.029,669.000.000,687.200.012,687.200.012,29600500,TLSA
2/08/2021,700.000.000,726.940.002,698.400.024,709.669.983,709.669.983,33615800,TLSA
3/08/2021,719.000.000,722.650.024,701.010.010,709.739.990,709.739.990,21620300,TLSA
4/08/2021,711.000.000,724.900.024,708.929.993,710.919.983,710.919.983,17002600,TLSA
5/08/2021,716.000.000,720.950.012,711.409.973,714.630.005,714.630.005,12919600,TLSA
6/08/2021,711.900.024,716.330.017,697.630.005,699.099.976,699.099.976,15576200,TLSA
9/08/2021,710.169.983,719.030.029,705.130.005,713.760.010,713.760.010,14715300,TLSA
10/08/2021,713.989.990,716.590.027,701.880.005,709.989.990,709.989.990,13432300,TLSA
11/08/2021,712.710.022,715.179.993,704.210.022,707.820.007,707.820.007,9800600,TLSA
12/08/2021,706.340.027,722.799.988,699.400.024,722.250.000,722.250.000,17459100,TLSA
13/08/2021,723.710.022,729.900.024,714.340.027,717.169.983,717.169.983,16698900,TLSA
16/08/2021,705.070.007,709.500.000,676.400.024,686.169.983,686.169.983,22677400,TLSA
17/08/2021,672.659.973,674.580.017,648.840.027,665.710.022,665.710.022,23721300,TLSA
18/08/2021,669.750.000,695.770.020,669.349.976,688.989.990,688.989.990,20349400,TLSA
19/08/2021,678.210.022,686.549.988,667.590.027,673.469.971,673.469.971,14313500,TLSA
20/08/2021,682.849.976,692.130.005,673.700.012,680.260.010,680.260.010,14781800,TLSA
23/08/2021,685.440.002,712.130.005,680.750.000,706.299.988,706.299.988,20264900,TLSA
24/08/2021,710.679.993,715.219.971,702.640.015,708.489.990,708.489.990,13083100,TLSA
25/08/2021,707.030.029,716.969.971,704.000.000,711.200.012,711.200.012,12645600,TLSA
26/08/2021,708.309.998,715.400.024,697.619.995,701.159.973,701.159.973,13214300,TLSA
27/08/2021,705.000.000,715.000.000,702.099.976,711.919.983,711.919.983,13762100,TLSA
30/08/2021,714.719.971,731.000.000,712.729.980,730.909.973,730.909.973,18604200,TLSA
31/08/2021,733.000.000,740.390.015,726.440.002,735.719.971,735.719.971,20855400,TLSA
1/09/2021,734.080.017,741.989.990,731.270.020,734.090.027,734.090.027,13204300,TLSA
2/09/2021,734.500.000,740.969.971,730.539.978,732.390.015,732.390.015,12777300,TLSA
3/09/2021,732.250.000,734.000.000,724.200.012,733.570.007,733.570.007,15246100,TLSA
7/09/2021,740.000.000,760.200.012,739.260.010,752.919.983,752.919.983,20039800,TLSA
8/09/2021,761.580.017,764.450.012,740.770.020,753.869.995,753.869.995,18793000,TLSA
9/09/2021,753.409.973,762.099.976,751.630.005,754.859.985,754.859.985,14077700,TLSA
10/09/2021,759.599.976,762.609.985,734.520.020,736.270.020,736.270.020,15114300,TLSA
13/09/2021,740.210.022,744.780.029,708.849.976,743.000.000,743.000.000,22952500,TLSA
14/09/2021,742.570.007,754.469.971,736.400.024,744.489.990,744.489.990,18524900,TLSA
15/09/2021,745.000.000,756.859.985,738.359.985,755.830.017,755.830.017,15357700,TLSA
16/09/2021,752.830.017,758.909.973,747.609.985,756.989.990,756.989.990,13923400,TLSA
17/09/2021,757.150.024,761.039.978,750.000.000,759.489.990,759.489.990,28204200,TLSA
20/09/2021,734.559.998,742.000.000,718.619.995,730.169.983,730.169.983,24757700,TLSA
21/09/2021,734.789.978,744.739.990,730.440.002,739.380.005,739.380.005,16330700,TLSA
22/09/2021,743.530.029,753.669.983,739.119.995,751.940.002,751.940.002,15126300,TLSA
23/09/2021,755.000.000,758.200.012,747.919.983,753.640.015,753.640.015,11947500,TLSA
24/09/2021,745.890.015,774.799.988,744.559.998,774.390.015,774.390.015,21373000,TLSA
27/09/2021,773.119.995,799.000.000,769.309.998,791.359.985,791.359.985,28070700,TLSA
28/09/2021,787.200.012,795.640.015,766.179.993,777.559.998,777.559.998,25381400,TLSA
29/09/2021,779.799.988,793.500.000,770.679.993,781.309.998,781.309.998,20942900,TLSA
30/09/2021,781.000.000,789.130.005,775.000.000,775.479.980,775.479.980,17956000,TLSA
1/10/2021,778.400.024,780.780.029,763.590.027,775.219.971,775.219.971,17031400,TLSA
4/10/2021,796.500.000,806.969.971,776.119.995,781.530.029,781.530.029,30483300,TLSA
5/10/2021,784.799.988,797.309.998,774.200.012,780.590.027,780.590.027,18432600,TLSA
6/10/2021,776.200.012,786.659.973,773.219.971,782.750.000,782.750.000,14632800,TLSA
7/10/2021,785.460.022,805.000.000,783.380.005,793.609.985,793.609.985,19195800,TLSA
8/10/2021,796.210.022,796.380.005,780.909.973,785.489.990,785.489.990,16711100,TLSA
11/10/2021,787.650.024,801.239.990,785.500.000,791.940.002,791.940.002,14200300,TLSA
12/10/2021,800.929.993,812.320.007,796.570.007,805.719.971,805.719.971,22020000,TLSA
13/10/2021,810.469.971,815.409.973,805.780.029,811.080.017,811.080.017,14120100,TLSA
14/10/2021,815.489.990,820.250.000,813.349.976,818.320.007,818.320.007,12247200,TLSA
15/10/2021,823.739.990,843.210.022,822.349.976,843.030.029,843.030.029,18818000,TLSA
18/10/2021,851.789.978,875.260.010,851.469.971,870.109.985,870.109.985,24207200,TLSA
19/10/2021,877.530.029,877.950.012,862.510.010,864.270.020,864.270.020,17381100,TLSA
20/10/2021,865.349.976,869.489.990,857.380.005,865.799.988,865.799.988,14032100,TLSA
21/10/2021,856.000.000,900.000.000,855.500.000,894.000.000,894.000.000,31481500,TLSA
22/10/2021,895.500.000,910.000.000,890.960.022,909.679.993,909.679.993,22880800,TLSA
25/10/2021,950.530.029,1.045.020.020,944.200.012,1.024.859.985,1.024.859.985,62852100,TLSA
26/10/2021,1.024.689.941,1.094.939.941,1.001.440.002,1.018.429.993,1.018.429.993,62415000,TLSA
27/10/2021,1.039.660.034,1.070.880.005,1.030.780.029,1.037.859.985,1.037.859.985,38526500,TLSA
28/10/2021,1.068.310.059,1.081.000.000,1.054.199.951,1.077.040.039,1.077.040.039,27213200,TLSA
29/10/2021,1.081.859.985,1.115.209.961,1.073.209.961,1.114.000.000,1.114.000.000,29918400,TLSA
1/11/2021,1.145.000.000,1.209.750.000,1.118.660.034,1.208.589.966,1.208.589.966,56048700,TLSA
